created_at,favourites_count,followers_count,friends_count,geo_enabled,id,lang,location,profile_background_color,status_created_at,status_favorited,status_hashtags,status_id,status_lang,status_retweet_count,status_retweeted,status_text,statuses_count,time_zone,utc_offset
Tue Jan 05 01:52:42 +0000 2010,28375,486,472,True,101923674,en,NA,C0DEED,Sun Jul 12 19:03:45 +0000 2015,False,NA,620307576912154628,en,0,False,"One of my primary kids leans over to me during sharing time and goes, ""So...what are you having for dinner?"" 😂😂😂",24028,Pacific Time (US & Canada),-25200
Wed Jan 16 14:47:35 +0000 2013,244,148,312,False,1095421634,en,NA,C0DEED,Thu Jul 09 01:29:35 +0000 2015,False,NA,618955120693374976,en,1581,False,RT @ComedyOrTruth: Every time I think things are going good. https://t.co/8KSdqVm0EO,535,Eastern Time (US & Canada),-14400
Sat Feb 20 05:32:44 +0000 2010,172,638,525,True,115852216,en,"Columbus, OH",E668AB,Sat Jul 11 23:39:41 +0000 2015,False,"[u'Tribe', u'tribetime', u'windians', u'Indians', u'Cleveland']",620014626890207232,en,0,False,It's a beautiful evening to cheer on the #Tribe. #tribetime #windians #Indians #Cleveland… https://t.co/hK5jrLdUkH,13119,Central Time (US & Canada),-18000
Tue Mar 05 21:04:26 +0000 2013,306,11162,200,False,1244619338,fr,France,F0F0F0,Sun Jul 12 19:01:12 +0000 2015,False,NA,620306932641996801,en,0,False,@GraceJemy Ya welcome dudeeee,42992,Paris,7200
Wed Apr 10 14:42:57 +0000 2013,4105,664,1245,False,1342066530,en,"Cape Cod, Massachusetts",C0DEED,Sun Jul 12 01:42:50 +0000 2015,False,NA,620045618610728961,en,1,False,Dr. Who Police Box Cat :D http://t.co/bgmPUGpnxL,1821,NA,NA
Mon Mar 24 18:13:48 +0000 2008,11,44,164,True,14209382,en,NA,0099B9,Sun Jul 12 17:00:17 +0000 2015,False,"[u'ThankYou', u'KitchenGods', u'sundayfunday', u'CooksLife']",620276504702926848,en,0,False,Going into work with a minimal prep list on a Sunday! #ThankYou #KitchenGods #sundayfunday #CooksLife,422,Atlantic Time (Canada),-10800
Fri May 17 20:48:03 +0000 2013,1146,165,268,True,1436646128,en,"South Jordan, UT",0099B9,Sat Jul 11 17:33:17 +0000 2015,False,"[u'LiveYourAdventure', u'TrainingForBoston2018', u'run3rd', u'IRun4Destiny', u'determination']",619922421647286272,en,0,False,Brrrrrr #LiveYourAdventure #TrainingForBoston2018 #run3rd #IRun4Destiny #determination  THE COLD… https://t.co/UYc5Gl2519,1551,Mountain Time (US & Canada),-21600
Sun May 18 00:25:21 +0000 2008,356,228,267,True,14816132,en,"Chicago, IL",352726,Sun Jul 12 05:02:47 +0000 2015,False,NA,620095937931665408,en,0,False,Bugs. Bugs in the apartment. Might drive me crazy.,3025,NA,NA
Mon May 19 19:52:24 +0000 2008,277,1508,1977,True,14837197,en,Ohio,A4B45D,Thu Jun 25 22:06:40 +0000 2015,False,[u'SFGiants'],614193014521655296,en,29,False,"RT @SFGiantsFans: Blanco's sac-fly makes it 9-2 #SFGiants.

Yes. You read it correctly. Giants have scored 9 runs at home.",2238,Eastern Time (US & Canada),-14400
Wed Jun 26 23:58:53 +0000 2013,221,283,495,False,1549370444,en,"Belleville, IL • San Diego, CA",000000,Thu Jul 09 18:34:29 +0000 2015,False,[u'SpringAwakening'],619213047249403909,en,12,False,RT @SpringBway: Great news - we will hold open auditions on July 16 in NYC! Click here for casting details: http://t.co/QZ6FRaH59B #SpringA…,1472,Central Time (US & Canada),-18000
Sun Jul 20 13:35:10 +0000 2008,371,78847,2175,False,15501577,en,"Illinois, USA",030303,Sun Jul 12 04:00:22 +0000 2015,False,NA,620080233392275456,en,0,False,Watch out- it's getting wild at Beauty Broadcast HQ on a Saturday night! Lip product testing. NYX… https://t.co/pw95fx0mNO,56397,Central Time (US & Canada),-18000
Sun Jun 30 21:07:33 +0000 2013,3183,108,408,True,1558942880,en,"El Monte/Riverside, CA",ACDED6,Sun Jul 12 02:07:56 +0000 2015,False,NA,620051937321287680,en,804,False,"RT @WinOutNET: The WinOut $20,000 Qualifier #2 Reg is open until 7/15 @AzubuTV - Register @CEVO http://t.co/qMfnVEVXqy Follow + RT http://t…",1929,Pacific Time (US & Canada),-25200
Wed Aug 27 16:20:14 +0000 2008,356,207,527,True,16013581,en,H-Town,000000,Mon Jul 06 15:55:13 +0000 2015,False,NA,618085802170408960,en,0,False,"""This endless policing of women’s language... similar to the way our culture polices women’s bodily appearance."" https://t.co/SyzYICrxBA",1790,Eastern Time (US & Canada),-14400
Tue Sep 23 12:09:14 +0000 2008,44,1024,1105,True,16418198,en,NA,0B0F00,Sat Jul 11 18:57:12 +0000 2015,False,[u'MisheardLyrics'],619943539175223300,en,0,False,I'm a satellite and you're this guy. #MisheardLyrics,7651,Eastern Time (US & Canada),-14400
Fri Aug 30 19:11:41 +0000 2013,357,109,359,False,1713539653,en,"Coshocton, OH",C0DEED,Fri Jul 10 22:24:05 +0000 2015,False,NA,619633217461731329,en,0,False,So I am literally having panic attacks from watching the Comic Con reveal trailer for Season 6 of The… https://t.co/paFbVBGbVb,3517,NA,NA
Mon Nov 10 05:42:32 +0000 2008,1826,131,220,False,17281864,en,Minnesota,642D8B,Sun Jul 12 16:16:57 +0000 2015,False,NA,620265600271712256,en,1,False,"RT @CHICconference: Rain or shine we're still gonna party! Grab your coats &amp; get ready to hang out w/ @SocialxClub, @anthemlights,&amp; more! h…",3682,Atlantic Time (Canada),-10800
Sun Nov 23 04:49:07 +0000 2008,864,101,125,False,17569065,en,NA,709397,Sat Jun 27 03:07:30 +0000 2015,False,NA,614631109897359360,en,1,False,Late night dinner on the docks in Inner Harbor with @danfree25 @ Phillips Seafood - Baltimore https://t.co/X8iiSbDu6b,1020,Eastern Time (US & Canada),-14400
Sat Nov 29 22:22:37 +0000 2008,665,270,288,False,17743037,en,New Hampshire,FFFFFF,Sat Jul 11 21:00:32 +0000 2015,False,NA,619974576668307456,en,0,False,"Not that I'm actively hungry, but I'm fantasizing about taking a bite of a honey BBQ drumstick. I'm mean an ACTUAL drumstick ;-)",5364,Eastern Time (US & Canada),-14400
Mon Jan 12 20:51:38 +0000 2009,445,243,288,False,18914929,en,Holland,000000,Sun Jul 12 16:57:02 +0000 2015,False,[u'hetzijnnetmensen'],620275686578745344,de,0,False,#hetzijnnetmensen das lachen!!,47049,Amsterdam,7200
Mon Jan 19 14:36:49 +0000 2009,378,146,392,False,19184846,en,NA,000000,Sun Jul 12 16:23:06 +0000 2015,False,NA,620267145562320896,en,154,False,RT @RollingStone: Ennio Morricone to score Quentin Tarantino's 'Hateful Eight' http://t.co/pUwqlnsjxG,13863,London,3600
Sun Oct 24 23:26:48 +0000 2010,879,138,249,False,207276242,en,NA,B2DFDA,Sun Jul 12 04:32:10 +0000 2015,False,NA,620088235281137664,en,0,False,Driving around at night with my interior lights on so my going out look can be appreciated before I get to @Aggieville,509,Central Time (US & Canada),-18000
Fri Nov 12 14:28:44 +0000 2010,2700,313,129,True,214903850,en,The Rivah City #RVA,C0DEED,Sun Jul 12 17:03:09 +0000 2015,False,"[u'CountryGreek', u'HanoverTomatoes', u'FetaExplosion']",620277227498926080,en,0,False,"Hey Joe, Thanks for the tomato! #CountryGreek #HanoverTomatoes #FetaExplosion @ Joe's Inn https://t.co/RTMiRHB2E3",8611,Eastern Time (US & Canada),-14400
Mon Feb 23 22:45:28 +0000 2009,537,344,438,False,21703369,en,New England,C0DEED,Sat Jul 11 20:21:07 +0000 2015,False,"[u'BestBasslineEver', u'Megadeth', u'PeaceSells']",619964656375894016,en,0,False,Weekend Soundtrack --&gt; https://t.co/22SL7n7rVI #BestBasslineEver #Megadeth #PeaceSells,3011,Eastern Time (US & Canada),-14400
Wed Feb 25 20:40:36 +0000 2009,1817,134,291,True,21915542,en,front street,E08E22,Sun Jul 12 07:04:50 +0000 2015,False,NA,620126655030394880,en,0,False,@wdrwoman11 awesome name,45493,Eastern Time (US & Canada),-14400
Thu Feb 26 02:53:48 +0000 2009,615,133,60,True,21961093,en,"Kansas City, MO",C0DEED,Sun Jul 12 18:56:28 +0000 2015,False,NA,620305741589540864,en,3,False,"RT @DSzymborski: Actually, Ned Yost's Deranged Magic sounds like an amazing television special that I would totally watch.",4090,Central Time (US & Canada),-18000
Thu Feb 26 20:04:05 +0000 2009,2244,248,266,False,22053844,en,"Minneapolis,MN",ACDED6,Fri Jul 10 15:13:56 +0000 2015,False,NA,619524963645521920,en,0,False,"It still astonishes me the number of people who call the restaurant a day, asking me to google something for them....",1931,Central Time (US & Canada),-18000
Thu Dec 05 02:41:20 +0000 2013,3318,181,390,True,2208213149,en,NA,0E0D02,Tue Jul 07 23:19:24 +0000 2015,False,NA,618559972998299652,en,1149,False,RT @FriendlyAssh0le: The smell of cigarettes disgusts me.,3345,Atlantic Time (Canada),-10800
Wed Mar 04 22:32:59 +0000 2009,2570,506,508,True,22846508,en,"Boston, MA",BADFCD,Sun Jul 12 15:14:17 +0000 2015,False,NA,620249826714877952,en,0,False,"The amount of times people say to me ""oh you would have LOVED this woman I saw at Dunks"" is incredible.",4693,Eastern Time (US & Canada),-14400
Fri Dec 24 04:00:51 +0000 2010,12376,555,286,True,230055262,en,NA,C0DEED,Sun Jul 12 16:54:38 +0000 2015,False,NA,620275081013534720,en,1,False,RT @wayo555: @JohnDoctorKent Char has a new pet! Giant Zeon Crays made of DNA of Manglosaurus. Lol http://t.co/pqpHIrKHJD,12595,NA,NA
Wed Feb 26 01:47:15 +0000 2014,15016,187,363,True,2361938714,en,Edmonton AB.,C0DEED,Sat Jul 11 23:40:37 +0000 2015,False,[u'STOP'],620014863285252096,en,11,False,RT @OfficerJulieCIU: Same goes in Alberta! The outdoors are not your ashtray. One lit butt can start a fire that destroys so much! #STOP ht…,6576,Mountain Time (US & Canada),-21600
Thu Mar 20 13:12:01 +0000 2014,543,123,165,False,2399859841,en,NA,E5A6F5,Sat Jul 11 18:32:30 +0000 2015,False,NA,619937324206403585,en,289,False,RT @QuoteBeauties: In any..... http://t.co/SYpFpccg7k,950,NA,NA
Sun Mar 30 18:35:08 +0000 2014,1,5797,21,False,2419374032,en,USA,C0DEED,Tue Jun 02 17:19:41 +0000 2015,False,"[u'personaltrainer', u'gym', u'fitness', u'personaltraining', u'personaltrainer', u'training', u'trainha']",605785871325888512,und,2,False,At http://t.co/0gN2oSq3xo -- #personaltrainer #gym #fitness #personaltraining #personaltrainer #training #trainha… http://t.co/aeOYSyTjwO,558741,NA,NA
Fri Feb 04 15:55:27 +0000 2011,176,164,508,False,247336587,en,Montreal,131516,Sat Jul 11 13:02:00 +0000 2015,False,"[u'happysaturday', u'friendship']",619854151753826304,en,0,False,Workout done! 🚴🏼 Off to help a client shortly then its housewarming pool party time on a gorgeous Saturday! ☀️🍹👙🏡 #happysaturday #friendship,1524,Eastern Time (US & Canada),-14400
Sat May 03 15:11:55 +0000 2014,3153,182,154,False,2475624499,en,Snapchat: Paulmartin12,C0DEED,Fri Jul 10 11:45:58 +0000 2015,False,NA,619472628995203072,en,0,False,one person followed me and one person unfollowed me // automatically checked by http://t.co/4YOdjXGUT0,1123,NA,NA
Sun Feb 13 21:22:22 +0000 2011,2605,179,374,True,251791579,en,"Saint Paul, MN",131516,Sat Jul 11 16:20:15 +0000 2015,False,NA,619904042081325056,en,0,False,@LovelyMpls Verdict's out. I've yet to determine where this is customary and where it's only considerate.,2078,Central Time (US & Canada),-18000
Thu Feb 24 04:40:57 +0000 2011,62,85,370,True,256831525,en,Located in Nacogdoches Texas! ,0099B9,Tue Jul 07 00:01:48 +0000 2015,False,"[u'PlexusAmbassadors', u'Offer', u'Slim', u'JoinMe']",618208253869060096,en,0,False,"MY OH MY! 11,600 new #PlexusAmbassadors. #Offer extended due to website traffic. #Slim http://t.co/IS6LCZfXaP #JoinMe http://t.co/0JQpeNQ23y",425,Central Time (US & Canada),-18000
Thu Jul 17 10:17:08 +0000 2014,3858,1139,1170,False,2653394383,en,NA,000000,Sun Jul 12 19:09:34 +0000 2015,False,NA,620309039055040512,en,0,False,"-sits around on the TL with coffee, still half asleep and eyeing everyone all judgey-",6099,Pacific Time (US & Canada),-25200
Mon Aug 18 15:10:40 +0000 2014,242,145,251,False,2742275191,en,"Plano, TX",9AE4E8,Fri Jun 26 17:49:26 +0000 2015,False,NA,614490668157632512,fr,1,False,RT @RoweInArt: Inspiration shopping with @KayleyPults @katie_specht minus 2 - looks like paper mâché and doilies http://t.co/rlyJoeagY1,440,NA,NA
Sat Apr 02 15:45:22 +0000 2011,3043,567,776,False,276068574,en,NA,C0DEED,Fri Jul 10 23:15:02 +0000 2015,False,[u'thanksunclesam'],619646038081572865,en,1,False,My favorite memory from my childhood is the one where I don't pay any bills for anything... ever...  😔😒 #thanksunclesam,6678,Central Time (US & Canada),-18000
Sun Apr 03 16:29:27 +0000 2011,19458,109,267,True,276563567,en,PA ✈️ LDN,642D8B,Sun Jul 12 14:08:35 +0000 2015,False,NA,620233293334740992,en,14684,False,RT @Zendaya: It's ok to be in love with YOURSELF.,23547,Eastern Time (US & Canada),-14400
Mon Mar 30 22:50:56 +0000 2009,4068,589,294,True,27751988,en,"Seoul, R.O.K.",0D040D,Sun Jul 12 06:31:23 +0000 2015,False,NA,620118238362386432,en,2,False,RT @RandyRizo: @kmrndvs @RobertAyala_ @SoulSoothing_ us in the whip  https://t.co/WOes60FZSw,31403,Pacific Time (US & Canada),-25200
Sat Apr 04 04:57:16 +0000 2009,218,253,818,True,28743486,en,tallahassee,7C785A,Sun Jun 21 20:46:26 +0000 2015,False,[u'Vejigante'],612723270308204545,en,0,False,#Vejigante by Buster Wolf will be released in August. Stany tuned for record release show/party info coming soon! https://t.co/UVC3BpuSNJ,1289,Quito,-18000
Fri Dec 19 04:51:05 +0000 2014,766,129,75,False,2931477039,en,810 ✈️ 818,C0DEED,Sun Jul 12 03:37:01 +0000 2015,False,NA,620074356140408832,en,0,False,For real. I don't even share beds. https://t.co/lseaRhHKPw,448,NA,NA
Sun May 15 21:50:25 +0000 2011,11775,105,300,True,299321871,en,NA,FFFFFF,Fri Jul 10 17:06:01 +0000 2015,False,NA,619553170600005632,en,875,False,"RT @Maisie_Williams: You heard him ladies and gents. Don't go to sea world🚨🚨🚨
@harry_styles https://t.co/NxMGIBzYdx",12437,Pacific Time (US & Canada),-25200
Tue Feb 10 07:33:46 +0000 2015,151,13,85,False,3016238743,en,Australia,C0DEED,Sat Jul 11 23:50:01 +0000 2015,False,NA,620017229950615553,en,2,False,"RT @Pokketsays: Had so much fun playing @Superfight today with @Ezekiel_III @ClevaGurl and @Wootystyle. Thanks for all the support, y'all! …",155,Adelaide,34200
Sun May 22 19:51:38 +0000 2011,1342,357,515,True,303391202,en,"Des Moines, IA",FCEBB6,Sat Jul 11 03:45:25 +0000 2015,False,NA,619714081931395072,en,0,False,I am sad tonight because chances are there will be a Minions 2 😒😑🔫,2818,Central Time (US & Canada),-18000
